,,addr:city,addr:housenumber,addr:interpolation,addr:postcode,addr:street,source,geometry,amenity,indoor,operator,operator:wikidata,postal_code,ref,addr:full,building,leisure,name,sport,wheelchair,access,building:levels,roof:levels,brand,brand:wikidata,toilets:wheelchair,note,opening_hours,website,addr:housename,historic,addr:country,bunker_type,military,source:name,source:addr:postcode,covered,tourism,locked,nodes,ref:university_of_cambridge,charge,fee,length,lit,location,swimming_pool,network,noaddress,wikidata,wikimedia_commons,occupier,alt_ref,source:ref,old_name,twitter,brand:wikipedia,fhrs:authority,fhrs:id,fhrs:local_authority_id,stars,comedy,note:phone,phone,wikipedia,denomination,ref:dove,religion,roof:shape,contact:website,official_name,shop,check_date,description,source:occupier,landuse,railway,railway:ref,railway:signal_box,roof:orientation,alt_name,floor:material,food,internet_access,outdoor_seating,real_ale,website:menu,wheelchair:description,air_conditioning,payment:cash,old_old_name,start_date,source:operator,ref:edubase,url,email,house,beer_garden,internet_access:fee,old_fhrs:id,source:addr:housenumber,source:wifi,building:levels:underground,social_facility,social_facility:for,office,source:addr,healthcare,disused:shop,disused:amenity,takeaway,cuisine,source:fhrs:id,male,reg_charity_no,service_times:url,unisex,cyclestreets_id,abandoned,check_date:opening_hours,opening_hours:signed,origin,abandoned:shop,check_date:currency:XBT,contact:facebook,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,service:bicycle:pump,diet:halal,dispensing,beauty,tailor:alteration_service,diet:vegan,diet:vegetarian,organic,charity,service:bicycle:repair,service:bicycle:retail,bicycle_parking,capacity,operator:type,amenity_1,ref_1,max_age,min_age,school:boarding,school:type,contact:instagram,music,note:real_ale,ref:GB:uprn,school:trust,nohousenumber,indoor_seating,accommodation,description:floor,smoking,power,substation,builder,overall_site,gas_insulated,layer,HE_ref,listed_status,building:flats,fixme,roof:direction,ways,type,latitude,longitude,osm_house_range
node,3387872050,Cambridge,"9,9a",,CB1 2HS,Covent Garden,,POINT (0.1345884 52.2005035),,,,,,,,entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.2005035,0.1345884,"9,9a"
node,5608858103,,,,,,,POINT (0.1272238 52.1884502),,,,,,,,bunker,,The Accordia Bat Hotel,,,,,,,,,,,,,,,pillbox,bunker,sign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1884502,0.1272238,nan
way,3986793,Cambridge,,,CB1 1NA,Gonville Place,,"POLYGON ((0.1298333 52.20087, 0.1299661 52.2009999, 0.1300322 52.2009715, 0.1303588 52.2012929, 0.1302952 52.2013173, 0.1303036 52.2013257, 0.130338 52.2013602, 0.1303736 52.2013964, 0.1303849 52.2014079, 0.1304372 52.2013873, 0.1304939 52.2013651, 0.1306792 52.2012928, 0.1311586 52.2011074, 0.1305968 52.2005732, 0.1298333 52.20087))",,,Cambridge City Council,,,,,civic,,"Kelsey Kerridge Sports Centre, Queen Anne Terrace",multi,,,,,,,,Kelsey Kerrige,,,,,GB,,,,,,,,"[20823701, 1240380362, 1240380355, 9359034382, 9359034381, 3365880120, 9359034384, 9359034379, 9359034380, 20823702, 20823705, 9359034399, 20823703, 20823704, 20823701]",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.20098150847655,0.130511986662654,nan
way,3986794,Cambridge,,,CB1 1LY,Gonville Place,,"POLYGON ((0.1313742 52.201972, 0.1318702 52.2017899, 0.131389 52.2013129, 0.1312348 52.2011646, 0.1312112 52.201142, 0.1311586 52.2011074, 0.1306792 52.2012928, 0.1304939 52.2013651, 0.1305414 52.2013935, 0.1305998 52.2014167, 0.1306517 52.2014271, 0.1307003 52.2014365, 0.130739 52.2014404, 0.1307774 52.2014439, 0.1308427 52.2014396, 0.1313742 52.201972))",,,Cambridge City Council,,,,,civic,swimming_pool,Parkside Pools,swimming,,,,,Better,Q5604859,,,,https://www.better.org.uk/leisure-centre/cambridge/parksidepools,,,GB,,,,,,,,"[20823706, 20823707, 1240380346, 9359034394, 9359034393, 20823703, 9359034399, 20823705, 9359034378, 9359034400, 9359034355, 9359034359, 9359034354, 9359034358, 9359034353, 20823706]",yes,5 GBP,yes,25,yes,indoor,swimming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.201529817405564,0.13124450052827955,nan
way,5639400,Cambridge,,,CB1 2JB,Station Road,yahoo,"POLYGON ((0.1378985 52.1949263, 0.1380866 52.1948784, 0.1380677 52.1948523, 0.1371588 52.1935962, 0.1369229 52.193657, 0.1365011 52.1930677, 0.1364441 52.1930864, 0.1369292 52.1937559, 0.1369883 52.1937409, 0.1372166 52.1940274, 0.1371713 52.1940485, 0.1372487 52.19416, 0.1372853 52.1942128, 0.1373108 52.1942494, 0.137371 52.1943356, 0.1374949 52.1945131, 0.1376201 52.1944765, 0.137678 52.1945634, 0.1377953 52.1947372, 0.1378143 52.1947603, 0.1377747 52.1947704, 0.1379326 52.1950106, 0.1379509 52.1950051, 0.1378985 52.1949263))",,,,,,,,train_station,,,,,,2,0,,,,,,,,,GB,,,,,,,,"[41933078, 41933082, 1267256488, 41933086, 41933094, 41933099, 41933103, 41933107, 41933111, 41933115, 41933120, 10784767432, 1216971708, 10784767431, 10784767430, 41933125, 41933128, 2341745705, 2341745714, 41933131, 41933136, 41933071, 41933075, 41933078]",,,,,,,,National Rail,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19413994538456,0.13739369290361828,nan
way,8115699,Cambridge,,,CB2 1ER,Lensfield Road,,"POLYGON ((0.1260673 52.1984562, 0.1262146 52.1984975, 0.1263626 52.1985374, 0.1264354 52.1984449, 0.1264092 52.1984342, 0.126439 52.1983965, 0.1264482 52.1983982, 0.1264499 52.1984231, 0.1264808 52.1984385, 0.1265134 52.1984445, 0.126546 52.1984382, 0.1265694 52.1984178, 0.1265665 52.1983958, 0.1265465 52.1983747, 0.1265242 52.1983681, 0.1264934 52.1983691, 0.1264694 52.1983751, 0.1264602 52.1983828, 0.1264545 52.1983814, 0.1264791 52.1983474, 0.1266037 52.1983859, 0.1266809 52.198281, 0.1262387 52.198154, 0.126164 52.1982542, 0.1262715 52.1982868, 0.1262528 52.1983129, 0.1262057 52.1983747, 0.1261469 52.1983589, 0.1260673 52.1984562))",,,University of Cambridge,,,L011,,university,,Scott Polar Research Institute (SPRI),,,,,,,,,,,https://www.spri.cam.ac.uk/,,,GB,,,,,,,,"[60877049, 1495298962, 60877050, 1412985663, 1412985659, 1412985655, 1412985656, 1412985658, 1412985661, 1412985662, 1412985660, 1412985657, 1412985654, 1412985649, 1412985646, 1412985647, 1412985650, 1412985652, 1412985651, 1412985644, 1412985653, 60877051, 60877052, 1412985642, 1412985643, 1495298957, 1412985648, 1412985645, 60877049]",,,,,,,,,,Q2747894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19834680061453,0.12636347008404847,nan
way,13220788,,,,,,laser measure ground survey,"POLYGON ((0.1233084 52.2011222, 0.1232047 52.2010856, 0.1230522 52.2010303, 0.1230377 52.2010513, 0.1228748 52.2009903, 0.1227639 52.2009487, 0.1227007 52.2010211, 0.1229765 52.2011174, 0.1229666 52.2011289, 0.1232141 52.2012178, 0.1233084 52.2011222))",,,Downing College (University of Cambridge),,,DOW016,,university,,,,,,,,,,,,,,,,,,,,,,,,"[121957478, 1481442115, 121957479, 121957480, 1481442112, 121957481, 121956525, 121956526, 121956528, 1481443225, 121957478]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.20108507768092,0.12301863814179272,nan
way,13220926,,,,,,laser measure ground survey,"POLYGON ((0.1222989 52.2005199, 0.1221326 52.2006965, 0.1222865 52.2007524, 0.1224496 52.2005735, 0.1223735 52.2005473, 0.1222989 52.2005199))",,,Downing College (University of Cambridge),,,DOW020,,university,,Kenny B,,,,,,,,,,,,,,,,,,,,,,"[121958484, 121958485, 121958487, 121958489, 1481442126, 121958484]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.200636147592256,0.1222914517985197,nan
way,13220939,,,,,,laser measure ground survey,"POLYGON ((0.1223526 52.2007586, 0.1223418 52.2007702, 0.1222588 52.2008589, 0.122518 52.2009526, 0.1225619 52.2009075, 0.1226045 52.2008659, 0.1226162 52.2008547, 0.1223526 52.2007586))",,,Downing College (University of Cambridge),,,DOW019,,university,,Kenny A,,,,,,,,,,,,,,,,,,,,,,"[121958700, 1481443075, 121958701, 121958703, 1481442122, 1481443109, 121958704, 121958700]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.200855905103296,0.12243616656302894,nan
way,13220953,,,,,,laser measure ground survey,"POLYGON ((0.1225743 52.2009748, 0.1226839 52.2010156, 0.1227469 52.200941, 0.1227566 52.2009454, 0.1227639 52.2009487, 0.122769 52.2009433, 0.1228816 52.2008248, 0.1229693 52.2007326, 0.1228461 52.2006855, 0.1226589 52.2008848, 0.1225743 52.2009748))",,,Downing College (University of Cambridge),,,DOW017,,university,,,,,,,,,,,,,,,,,,,,,,,,"[121958876, 1481443159, 1481443133, 1481443143, 121957481, 1481443136, 1481442110, 121958878, 121958879, 1481443119, 121958876]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.20084880855275,0.12277330822952498,nan
