k,RMSE,R2
2,0.0010815447961007676,0.9506646055376452
3,0.001155290781227344,0.9389943323256887
4,0.0011362148549101097,0.9426793634828243
5,0.001095262186735948,0.9429407667451134
6,0.0011221540622010986,0.9383745396163127
7,0.0011022261136174921,0.944363129599617
8,0.0010925790571569092,0.94270189108081
9,0.0010768229661745161,0.9389350818415134
10,0.0010616319698913152,0.9434443313418732
11,0.001067353929960916,0.9337198342182534
12,0.0010837486748743932,0.9349340152602642
13,0.0010549794802074367,0.9402167128679645
14,0.0010456647952486334,0.9293790006113799
15,0.0010453179278917047,0.9246480069053604
16,0.0010485337827611588,0.9275915550204266
17,0.0010422485262757996,0.9016050262773581
18,0.0010304164577068712,0.9292849287610814
19,0.001028221869297908,0.9346511821597523
20,0.0010200094469133899,0.844467989830332
21,0.0010111876768849992,0.9139900277419448
22,0.0010111201925127272,0.8824434819391738
23,0.0009985432528112435,0.8772835734117959
24,0.0010137107267462224,0.8909597999547029
25,0.0010119831713683628,0.838553714857388
26,0.0009880808660596633,0.9237240645634407
27,0.0009932463520968624,0.9188698868783782
28,0.000996895320752193,0.8626488198386241
29,0.0009907748687036225,0.8374067929019959
30,0.0009700648071340536,0.8254293621821946
31,0.0009722529647555732,0.8273822824229603
32,0.0009768757199637736,0.8363806661627562
33,0.0009773269001075592,0.8460860888869609
34,0.0009784266311184324,0.8394527409102907
35,0.000981584982602224,0.844042001602846
36,0.000991689568116149,0.8157709666927803
37,0.0009950388867271925,0.764124451860503
38,0.0009828074607476011,0.7713846572841105
39,0.0009867840608290038,0.769231537574334
40,0.0009800526486993557,0.7244979910051278
41,0.000969206198481404,0.7329676178332449
42,0.0009709733969519252,0.7607352278152609
43,0.0009634678761424559,0.7654792844638941
44,0.0009587096863278208,0.7654606000064667
45,0.0009586218734204662,0.7284874177041056
46,0.0009651033250934589,0.7365673742536452
47,0.0009535872867234073,0.7366980203170886
48,0.0009581564378290654,0.7650672019992241
49,0.0009520345946967607,0.7632826738440074
50,0.0009522944712783168,0.7664838110541402
51,0.0009550525395768881,0.765605818110567
52,0.0009569641688080822,0.6634681393726016
53,0.000948695611708463,0.6580088196090806
54,0.0009547268703476603,0.6480120684422265
55,0.0009478960164769897,0.6480795048170527
56,0.0009461973042882465,0.699065166929499
57,0.0009381067110524852,0.7112962272952732
58,0.0009308576436520367,0.7067735581322767
59,0.0009281279841306969,0.6971893651397774
60,0.0009353498215592878,0.700203296884951
61,0.0009371289794723692,0.7170701997270205
62,0.0009328717788757527,0.7077063523362979
63,0.0009321738488867657,0.7109566141306468
64,0.0009369219863972183,0.6612984857158095
65,0.0009309016266422446,0.6637379665024218
66,0.0009252639208215473,0.6421027085513071
67,0.0009309746929813929,0.6905794566944935
68,0.0009273263079691881,0.6432805028692546
69,0.0009229503608611623,0.6498635810472256
70,0.0009186749267585218,0.6542069180555757
71,0.0009157899761222714,0.650444255997097
72,0.0009183913755360333,0.6473935099490947
73,0.0009208920499882128,0.6505540306748073
74,0.0009223700386947067,0.6454814657632586
75,0.0009282369173001543,0.5081784720192589
76,0.0009227305297799228,0.49899507762756873
77,0.0009158079269135075,0.4471477846372348
78,0.0009114473970061531,0.4500457747778774
79,0.0009155067473230862,0.4061144156388487
80,0.0009088125347198585,0.4171614318979204
81,0.000904044806202616,0.4266134509683075
82,0.0009002819190757074,0.43298296157813754
83,0.0009090283280505006,0.4869870519193913
84,0.0009054761400229085,0.49290149134270855
85,0.000909030881007717,0.47584314812933076
86,0.0009036155184416882,0.2781838790207628
87,0.0009023697491799569,0.28628066330995905
88,0.0008986093928739485,0.2823575925385745
89,0.0008955734680616702,0.26713223824679044
90,0.0008939206754729275,0.26740680019780044
91,0.0008910606713729964,0.2546696363776407
92,0.0008929982369743057,0.25833584566573736
93,0.0008919659215690392,0.2619935516741111
94,0.0008929221841140066,0.26947572885322313
95,0.0008927741426971572,0.27526672070053865
96,0.0008961096700432309,0.2706447294192987
97,0.0009022301181628596,0.17734175112068265
98,0.0008981082975115328,0.16361357899869503
99,0.000896082568642557,0.10545442868805978
