,transaction_unique_identifier,price,date_of_transfer,postcode,property_type,new_build_flag,tenure_type,primary_addressable_object_name,secondary_addressable_object_name,street,locality,town_city,district,county,ppd_category_type,record_status,db_id,housenumber,addr:city,addr:interpolation,addr:street,source,geometry,amenity,indoor,operator,operator:wikidata,postal_code,ref,addr:full,building,leisure,name,sport,wheelchair,access,building:levels,roof:levels,brand,brand:wikidata,toilets:wheelchair,note,opening_hours,website,addr:housename,historic,addr:country,bunker_type,military,source:name,source:addr:postcode,covered,tourism,locked,nodes,ref:university_of_cambridge,charge,fee,length,lit,location,swimming_pool,network,noaddress,wikidata,wikimedia_commons,occupier,alt_ref,source:ref,old_name,twitter,brand:wikipedia,fhrs:authority,fhrs:id,fhrs:local_authority_id,stars,comedy,note:phone,phone,wikipedia,denomination,ref:dove,religion,roof:shape,contact:website,official_name,shop,check_date,description,source:occupier,landuse,railway,railway:ref,railway:signal_box,roof:orientation,alt_name,floor:material,food,internet_access,outdoor_seating,real_ale,website:menu,wheelchair:description,air_conditioning,payment:cash,old_old_name,start_date,source:operator,ref:edubase,url,email,house,beer_garden,internet_access:fee,old_fhrs:id,source:addr:housenumber,source:wifi,building:levels:underground,social_facility,social_facility:for,office,source:addr,healthcare,disused:shop,disused:amenity,takeaway,cuisine,source:fhrs:id,male,reg_charity_no,service_times:url,unisex,cyclestreets_id,abandoned,check_date:opening_hours,opening_hours:signed,origin,abandoned:shop,check_date:currency:XBT,contact:facebook,currency:XBT,payment:lightning,payment:lightning_contactless,payment:onchain,service:bicycle:pump,diet:halal,dispensing,beauty,tailor:alteration_service,diet:vegan,diet:vegetarian,organic,charity,service:bicycle:repair,service:bicycle:retail,bicycle_parking,capacity,operator:type,amenity_1,ref_1,max_age,min_age,school:boarding,school:type,contact:instagram,music,note:real_ale,ref:GB:uprn,school:trust,nohousenumber,indoor_seating,accommodation,description:floor,smoking,power,substation,builder,overall_site,gas_insulated,layer,HE_ref,listed_status,building:flats,fixme,roof:direction,ways,type,latitude,longitude,osm_house_range
886,{C6209F60-28FD-295E-E053-6C04A8C0DDCC},1000000,2021-03-31,cb2 1jt,O,N,F,10,,HILLS ROAD,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,B,A,13187492,10,Cambridge,,Hills Road,,"POLYGON ((0.128422 52.1979038, 0.1282825 52.1978581, 0.1282323 52.1979159, 0.1283712 52.1979616, 0.128422 52.1979038))",,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,"[1808683184, 1808683182, 1808683186, 1808683188, 1808683184]",,,,,,,,,,Q26616716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1979098439521,0.1283270448169286,10
887,{525B745B-50A6-403D-882F-EB09010329A3},210000,2012-08-29,cb2 1le,F,N,L,131,,WARREN CLOSE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,3206665,131,Cambridge,all,Warren Close,"survey,Bing","POLYGON ((0.1351352 52.1938477, 0.1352677 52.1938286, 0.1352212 52.1937075, 0.1348581 52.1937599, 0.1348342 52.1937631, 0.1348395 52.1937752, 0.1348625 52.1937714, 0.1349046 52.1938809, 0.1350349 52.1938621, 0.1350415 52.1938802, 0.135142 52.1938663, 0.1351352 52.1938477))",,,,,,,,residential,,,,,,6,,,,,,,,,,,,,,,,,,"[1514456685, 1514456684, 1514456675, 1514456680, 1514456681, 1514456683, 1514456682, 1514456701, 1514456687, 1514456691, 1514456689, 1514456685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19379683740384,0.13506265328692538,130-153
888,{E5D76CA3-D275-43C9-92EB-BDD3734D3B2C},308500,2013-10-17,cb2 1le,F,N,L,149,,WARREN CLOSE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,3955358,149,Cambridge,all,Warren Close,"survey,Bing","POLYGON ((0.1351352 52.1938477, 0.1352677 52.1938286, 0.1352212 52.1937075, 0.1348581 52.1937599, 0.1348342 52.1937631, 0.1348395 52.1937752, 0.1348625 52.1937714, 0.1349046 52.1938809, 0.1350349 52.1938621, 0.1350415 52.1938802, 0.135142 52.1938663, 0.1351352 52.1938477))",,,,,,,,residential,,,,,,6,,,,,,,,,,,,,,,,,,"[1514456685, 1514456684, 1514456675, 1514456680, 1514456681, 1514456683, 1514456682, 1514456701, 1514456687, 1514456691, 1514456689, 1514456685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19379683740384,0.13506265328692538,130-153
889,{C66FD95C-775D-4687-832A-3A462D46B1F5},225000,2013-08-07,cb2 1le,F,N,L,148,,WARREN CLOSE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,4187288,148,Cambridge,all,Warren Close,"survey,Bing","POLYGON ((0.1351352 52.1938477, 0.1352677 52.1938286, 0.1352212 52.1937075, 0.1348581 52.1937599, 0.1348342 52.1937631, 0.1348395 52.1937752, 0.1348625 52.1937714, 0.1349046 52.1938809, 0.1350349 52.1938621, 0.1350415 52.1938802, 0.135142 52.1938663, 0.1351352 52.1938477))",,,,,,,,residential,,,,,,6,,,,,,,,,,,,,,,,,,"[1514456685, 1514456684, 1514456675, 1514456680, 1514456681, 1514456683, 1514456682, 1514456701, 1514456687, 1514456691, 1514456689, 1514456685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19379683740384,0.13506265328692538,130-153
890,{09387F16-75DD-4C0E-B35B-76B7C9E84264},245000,2014-02-24,cb2 1le,F,N,L,132,,WARREN CLOSE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,5617911,132,Cambridge,all,Warren Close,"survey,Bing","POLYGON ((0.1351352 52.1938477, 0.1352677 52.1938286, 0.1352212 52.1937075, 0.1348581 52.1937599, 0.1348342 52.1937631, 0.1348395 52.1937752, 0.1348625 52.1937714, 0.1349046 52.1938809, 0.1350349 52.1938621, 0.1350415 52.1938802, 0.135142 52.1938663, 0.1351352 52.1938477))",,,,,,,,residential,,,,,,6,,,,,,,,,,,,,,,,,,"[1514456685, 1514456684, 1514456675, 1514456680, 1514456681, 1514456683, 1514456682, 1514456701, 1514456687, 1514456691, 1514456689, 1514456685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19379683740384,0.13506265328692538,130-153
891,{582D0636-9F00-8F22-E053-6C04A8C01BAC},338000,2017-07-19,cb2 1le,F,N,L,152,,WARREN CLOSE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,7882177,152,Cambridge,all,Warren Close,"survey,Bing","POLYGON ((0.1351352 52.1938477, 0.1352677 52.1938286, 0.1352212 52.1937075, 0.1348581 52.1937599, 0.1348342 52.1937631, 0.1348395 52.1937752, 0.1348625 52.1937714, 0.1349046 52.1938809, 0.1350349 52.1938621, 0.1350415 52.1938802, 0.135142 52.1938663, 0.1351352 52.1938477))",,,,,,,,residential,,,,,,6,,,,,,,,,,,,,,,,,,"[1514456685, 1514456684, 1514456675, 1514456680, 1514456681, 1514456683, 1514456682, 1514456701, 1514456687, 1514456691, 1514456689, 1514456685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19379683740384,0.13506265328692538,130-153
892,{BEF7EBBE-9995-7A76-E053-6B04A8C092F7},405000,2021-01-29,cb2 1le,F,N,L,153,,WARREN CLOSE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,12408801,153,Cambridge,all,Warren Close,"survey,Bing","POLYGON ((0.1351352 52.1938477, 0.1352677 52.1938286, 0.1352212 52.1937075, 0.1348581 52.1937599, 0.1348342 52.1937631, 0.1348395 52.1937752, 0.1348625 52.1937714, 0.1349046 52.1938809, 0.1350349 52.1938621, 0.1350415 52.1938802, 0.135142 52.1938663, 0.1351352 52.1938477))",,,,,,,,residential,,,,,,6,,,,,,,,,,,,,,,,,,"[1514456685, 1514456684, 1514456675, 1514456680, 1514456681, 1514456683, 1514456682, 1514456701, 1514456687, 1514456691, 1514456689, 1514456685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19379683740384,0.13506265328692538,130-153
893,{1EAE3DF6-3B2C-9EB1-E063-4704A8C09D02},365000,2024-06-27,cb2 1le,F,N,L,151,,WARREN CLOSE,,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,15516275,151,Cambridge,all,Warren Close,"survey,Bing","POLYGON ((0.1351352 52.1938477, 0.1352677 52.1938286, 0.1352212 52.1937075, 0.1348581 52.1937599, 0.1348342 52.1937631, 0.1348395 52.1937752, 0.1348625 52.1937714, 0.1349046 52.1938809, 0.1350349 52.1938621, 0.1350415 52.1938802, 0.135142 52.1938663, 0.1351352 52.1938477))",,,,,,,,residential,,,,,,6,,,,,,,,,,,,,,,,,,"[1514456685, 1514456684, 1514456675, 1514456680, 1514456681, 1514456683, 1514456682, 1514456701, 1514456687, 1514456691, 1514456689, 1514456685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19379683740384,0.13506265328692538,130-153
894,{6D170F4E-1A7A-4822-A749-1AECF668A426},185626,2006-06-27,cb2 1le,F,Y,L,148,,WARREN CLOSE,CAMBRIDGE,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,26007642,148,Cambridge,all,Warren Close,"survey,Bing","POLYGON ((0.1351352 52.1938477, 0.1352677 52.1938286, 0.1352212 52.1937075, 0.1348581 52.1937599, 0.1348342 52.1937631, 0.1348395 52.1937752, 0.1348625 52.1937714, 0.1349046 52.1938809, 0.1350349 52.1938621, 0.1350415 52.1938802, 0.135142 52.1938663, 0.1351352 52.1938477))",,,,,,,,residential,,,,,,6,,,,,,,,,,,,,,,,,,"[1514456685, 1514456684, 1514456675, 1514456680, 1514456681, 1514456683, 1514456682, 1514456701, 1514456687, 1514456691, 1514456689, 1514456685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19379683740384,0.13506265328692538,130-153
895,{2D5B51F2-81D0-4A39-8DF0-08EB15A876EF},237939,2006-06-27,cb2 1le,F,Y,L,149,,WARREN CLOSE,CAMBRIDGE,CAMBRIDGE,CAMBRIDGE,CAMBRIDGESHIRE,A,A,26178047,149,Cambridge,all,Warren Close,"survey,Bing","POLYGON ((0.1351352 52.1938477, 0.1352677 52.1938286, 0.1352212 52.1937075, 0.1348581 52.1937599, 0.1348342 52.1937631, 0.1348395 52.1937752, 0.1348625 52.1937714, 0.1349046 52.1938809, 0.1350349 52.1938621, 0.1350415 52.1938802, 0.135142 52.1938663, 0.1351352 52.1938477))",,,,,,,,residential,,,,,,6,,,,,,,,,,,,,,,,,,"[1514456685, 1514456684, 1514456675, 1514456680, 1514456681, 1514456683, 1514456682, 1514456701, 1514456687, 1514456691, 1514456689, 1514456685]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.19379683740384,0.13506265328692538,130-153
