Geography_Code,Geography,lat,lng,geometry,L1-L3,L4-L6,L7,L8-9,L10-L11,L12,L13,L14,L15,id,amenity_pois_count
E00028877,Salford 003A,53.53284,-2.40749,"POLYGON ((-2.4071009081865204 53.53467533779089, -2.4072055731151285 53.53385996520623, -2.406270741870031 53.533472995475975, -2.404691692704409 53.533422220439796, -2.4044531553541413 53.53395594241136, -2.402908741932473 53.5335886656817, -2.4019033645175827 53.53391989912111, -2.4017498718701935 53.53356204695247, -2.40252633272384 53.533176135578934, -2.4029487176385493 53.53317994878445, -2.4067419884438306 53.5331741094678, -2.40626852994776 53.53111783849243, -2.406719419629875 53.5310405862943, -2.4066438235102803 53.53077315028256, -2.407158204787559 53.53074996145471, -2.407394230310879 53.531322061295896, -2.4076903767666136 53.53225935293268, -2.408518525820887 53.53236230061926, -2.4079053354894984 53.53319009863772, -2.4076192773307388 53.53394125730863, -2.4081688677235964 53.53417078838185, -2.408390053886127 53.534860837762, -2.4071009081865204 53.53467533779089))",15,44,30,20,18,34,37,25,8,26989,0
E00018508,Redbridge 007D,51.6009,0.025137,"POLYGON ((0.0256372477759091 51.601538135908484, 0.0268581765760466 51.60107572789709, 0.0262352805708344 51.600047612086556, 0.0268020008276718 51.59997146387983, 0.0266684830972836 51.599655751145725, 0.0262938999549705 51.599507784758735, 0.025647736358545 51.599947382024844, 0.0244756503717829 51.600006642772975, 0.0239001627671695 51.6000833832284, 0.0241414882426314 51.60082565995861, 0.023624062862097 51.6010184001013, 0.0233992963530619 51.60138987420098, 0.0237301333558112 51.60157912923389, 0.0253125470991483 51.601942578724106, 0.0256372477759091 51.601538135908484))",75,62,22,14,5,8,6,11,14,17400,0
E00091020,East Cambridgeshire 001C,52.4586,0.308684,"POLYGON ((0.3109195032706691 52.45801530179133, 0.3109079978325329 52.457618562586774, 0.3100685656910747 52.45715584278192, 0.3094481467137787 52.457184156657014, 0.3093230698910208 52.45665363355381, 0.3086411471370008 52.45657929737157, 0.3078401509823162 52.45690944264856, 0.3085881742108724 52.4578723549848, 0.3073579042284834 52.45783228381269, 0.3063031942086854 52.45828944254004, 0.306202153211626 52.45933249991628, 0.3075619963513985 52.460226943281775, 0.3106201941317676 52.46117892392626, 0.311258616009659 52.46070640495887, 0.3106754910469227 52.458525710284654, 0.3100948140450824 52.45832380527554, 0.3095637318095284 52.45850192313259, 0.3094303379322134 52.45816344010256, 0.3109195032706691 52.45801530179133))",25,42,25,32,18,37,33,24,8,85985,1
E00184090,Hackney 002H,51.56996,-0.09194,"POLYGON ((-0.0915872532331871 51.568169502215426, -0.0928025282824171 51.5701200332879, -0.0922717123622958 51.57030867260144, -0.0920531147883055 51.571242631638256, -0.0913763849487433 51.57099298818814, -0.09112211694742 51.57025257709804, -0.0915872532331871 51.568169502215426))",32,40,15,15,5,20,17,25,4,172102,0
E00135380,Great Yarmouth 004D,52.62631,1.734334,"POLYGON ((1.7355926027763282 52.627182642154594, 1.7354948299568294 52.62575519252111, 1.7340139709245534 52.624834881289495, 1.7336461732245094 52.62508635116618, 1.7339813571464187 52.6271681351688, 1.733208945973761 52.62724089983429, 1.7332286011112672 52.6276450437979, 1.7353655482322246 52.62764910993655, 1.7355926027763282 52.627182642154594))",7,19,21,11,19,43,62,27,23,128237,0
E00000538,Barking and Dagenham 010C,51.54434,0.177306,"POLYGON ((0.1855860252880878 51.547158621724854, 0.1823227546243541 51.54565499582863, 0.180453461289372 51.54411516135994, 0.1796430406648354 51.5426423266561, 0.1795020502942646 51.540955564415356, 0.1786219605330367 51.541326170076005, 0.1771218334782452 51.54271720623756, 0.1766815893737352 51.54272781359848, 0.1766627363844614 51.5423327832602, 0.1757338381724444 51.54235393763547, 0.1741216936244439 51.54239062824091, 0.1738259029457002 51.545429890984394, 0.1792133377241106 51.54635512201735, 0.1859953862787952 51.54753525817415, 0.1855860252880878 51.547158621724854))",15,34,24,47,15,31,27,20,20,492,0
E00089511,Buckinghamshire 034B,51.66765,-0.59808,"POLYGON ((-0.5966548524451868 51.66797423440253, -0.5972247251871305 51.666178081611285, -0.5981052196492633 51.66647248354638, -0.5989964729667006 51.66617748516193, -0.5996021437915596 51.66611015648755, -0.59900426586527 51.66654903936594, -0.5991419193777714 51.66727679244579, -0.5994471978428244 51.66870230597716, -0.5978421581041964 51.668886399706096, -0.5976800507065417 51.66842472613767, -0.5966548524451868 51.66797423440253))",56,48,30,33,7,28,18,9,11,84559,0
E00123793,Maidstone 002D,51.29005,0.529452,"POLYGON ((0.5324053277800187 51.289728447459865, 0.5318832685391639 51.28890562200072, 0.5287682507778281 51.289308171913106, 0.5292763442225125 51.289725715164934, 0.5268428188658684 51.29005706538293, 0.5264269571276152 51.290136023790524, 0.5268883320694677 51.29114666710115, 0.5274225655750084 51.29082574893999, 0.5283258112969348 51.29131569666024, 0.5291952568721683 51.29060844896556, 0.529713536215457 51.29158922945116, 0.5292744182146414 51.291925163693264, 0.5294766473863276 51.29245523424339, 0.5304503430770876 51.292317790410245, 0.5303811709990651 51.29208791424015, 0.5321568783224162 51.29197846925263, 0.5303998494235083 51.29103395349529, 0.53149909856872 51.29077697151568, 0.53106679289638 51.28997924073097, 0.5324053277800187 51.289728447459865))",40,61,38,43,17,21,14,18,14,117272,0
W00005770,Vale of Glamorgan 010A,51.41529,-3.2953,"POLYGON ((-3.2920670311263556 51.41560841013448, -3.295551634748662 51.41420112055908, -3.300638159011251 51.414142576458026, -3.2944048883921266 51.41646109123921, -3.2942702486545965 51.41609633920238, -3.292929357084721 51.41628170446904, -3.2920670311263556 51.41560841013448))",19,50,31,18,15,33,14,11,6,184178,0
E00114208,Tewkesbury 002D,51.99585,-2.15643,"POLYGON ((-2.154001962781391 51.997114861217796, -2.1546733588690947 51.995726624011354, -2.1540826394987933 51.99571296043828, -2.1542974220893525 51.99528479300853, -2.1557849387618764 51.9954166495065, -2.1555889979941054 51.99498796218362, -2.156814233432239 51.99449632302233, -2.156464414374963 51.99516206105973, -2.157789899893315 51.995241507574036, -2.158888274453463 51.99583365821482, -2.1582659704304126 51.99601224367092, -2.1580273014932607 51.99647614351061, -2.156984449304676 51.996455216336976, -2.1560481966227014 51.997491715331186, -2.1550599055410267 51.997258338226715, -2.1553582498177843 51.99691527267851, -2.1549312489816934 51.99667646745045, -2.154001962781391 51.997114861217796))",20,37,20,27,13,23,25,16,4,108174,4
E00157471,Waverley 003A,51.21182,-0.81175,"POLYGON ((-0.8092304687835845 51.21104309421094, -0.81002016371393 51.21079683921401, -0.8108576139362619 51.210361284688695, -0.8115425915948455 51.21130013030662, -0.8123894844586199 51.21142602722663, -0.8126795236095526 51.21212812297486, -0.8139680852282096 51.21136428714317, -0.8143115394518664 51.21154800016487, -0.8142663121552747 51.21261482253847, -0.8132996629137268 51.212730018734696, -0.8122309795270174 51.21334422189072, -0.8121210951219507 51.212548890527266, -0.8107128631047611 51.211562986961276, -0.8106475364403025 51.21117002399204, -0.8094996494493267 51.21135451212845, -0.8092304687835845 51.21104309421094))",25,27,20,31,15,44,39,14,66,149245,0
E00181351,Wychavon 015C,52.08602,-1.9702,"POLYGON ((-1.9706112219731886 52.088113018822334, -1.969914026656223 52.087609761605, -1.9695369542223247 52.08778107782548, -1.9694502521502917 52.086756369090814, -1.968854609035227 52.086558237920705, -1.9694530315105951 52.08613020148443, -1.9696291899861342 52.08548158202976, -1.9691009577777776 52.085099651796, -1.9697464610009332 52.08467572928431, -1.9694944775162444 52.084208345267214, -1.9699361981307704 52.08412248008172, -1.9705424591528258 52.0841266973056, -1.9707305448066603 52.08368449063874, -1.972410184322419 52.0847044480424, -1.9709027946008812 52.08540499332963, -1.9703597688577097 52.08753929043152, -1.9720889835175315 52.08734285133492, -1.9720884503658909 52.08660202273612, -1.9743043075105295 52.08609246274461, -1.9749948112479292 52.0872547232805, -1.9726496956505448 52.08771015055294, -1.9728789725117464 52.08805384105333, -1.9725235108958616 52.08834277273304, -1.9706112219731886 52.088113018822334))",42,74,31,17,15,32,17,7,5,169365,0
E00012549,Hillingdon 016H,51.53484,-0.48231,"POLYGON ((-0.4816603766068603 51.537513768113854, -0.4824954040010932 51.53701027417758, -0.4819766484281761 51.53696488846926, -0.4814260700991689 51.53641694171689, -0.4817241201493676 51.535669849138635, -0.4804224516790714 51.53420213680839, -0.4811218736449723 51.53307839276983, -0.4824826123934148 51.5326452176449, -0.4823537175087762 51.5346701849436, -0.4825653347317584 51.534376173101904, -0.483120045484366 51.534390872517754, -0.4833109716833823 51.53497085966931, -0.4842246753941683 51.535316392056586, -0.4838148108614322 51.53776712195854, -0.4832066937765444 51.53807123446581, -0.4823151736885658 51.53799676106266, -0.4820008152174933 51.53895092473228, -0.4814259744313153 51.53884393984789, -0.4819186050128006 51.537935501908564, -0.4816603766068603 51.537513768113854))",31,56,40,30,22,39,40,29,48,11851,0
E00190139,Northumberland 025G,55.11852,-1.54076,"POLYGON ((-1.538471040881059 55.11867864143857, -1.54004210269014 55.11771362337968, -1.541169145166172 55.11699265726972, -1.5430265755253854 55.11759822258023, -1.5427906188146074 55.11978853255703, -1.5427372567669608 55.120283853357655, -1.541585964514206 55.120018333072686, -1.5411303337117908 55.12020665405193, -1.5410586906535841 55.11981871344416, -1.540142122658348 55.11980580674076, -1.5402739929052067 55.119567382220865, -1.538471040881059 55.11867864143857))",32,90,39,11,18,19,18,1,8,178150,0
E00145688,South Oxfordshire 011A,51.62012,-1.10617,"POLYGON ((-1.1070664889385913 51.621977960969105, -1.105879491766013 51.621386697388694, -1.1054296219065998 51.62144968747568, -1.1050268250847288 51.621445206990984, -1.105867662368774 51.62030008471159, -1.1049551112650133 51.620106838079394, -1.1053312365883363 51.61945862739904, -1.104248103741876 51.6182166791076, -1.1049902037506178 51.6179589570569, -1.1068436671150224 51.61833593888711, -1.1069788016918747 51.61868575696503, -1.1063495013563471 51.61916607206623, -1.106970567773661 51.61993566068473, -1.1068520011370875 51.62052401877811, -1.1089886316091133 51.620629426341644, -1.1089623670083746 51.62114603296032, -1.1099109137318333 51.62141658746488, -1.109474105831062 51.62228643397629, -1.1085320737269322 51.62125267994634, -1.1075963073198223 51.62095415781408, -1.1066837576810815 51.621082093036264, -1.1074319303083133 51.62146204479534, -1.1070664889385913 51.621977960969105))",34,63,41,26,8,11,13,13,7,138029,0
E00158962,Stratford-on-Avon 006A,52.21204,-1.86762,"POLYGON ((-1.867620372225244 52.213908179994704, -1.8675798823879222 52.213441911969326, -1.8665339386601434 52.212809018636804, -1.8649040492064137 52.212609100973886, -1.8647390424993742 52.21091619558154, -1.8664175087991217 52.20997352958904, -1.8704345956399049 52.21213224577809, -1.8705064401967944 52.21306049058252, -1.8689726589085716 52.21297237676911, -1.869505474907072 52.21338618138206, -1.8693610937591891 52.21377579055464, -1.8705774498490153 52.21389914523428, -1.8696916232196803 52.21498653776549, -1.8685493461656122 52.21521002389607, -1.868371621666508 52.2158582026266, -1.8680531773505629 52.2160150893085, -1.867143994272986 52.21516875201114, -1.8678199270064468 52.21490850101324, -1.8679443674867766 52.21514993256158, -1.8684866860334426 52.21508397218713, -1.8690477091423436 52.214643644064594, -1.8683542497572532 52.21394266814323, -1.867776862720909 52.21427277975341, -1.867620372225244 52.213908179994704))",25,58,22,23,15,27,15,14,13,150659,2
E00017962,Newham 008B,51.545,0.02202,"POLYGON ((0.0232901873674274 51.54509942904394, 0.0224988863016083 51.54413511355298, 0.021832512225721 51.543952916549536, 0.0212909596996915 51.54393426834181, 0.0212248337353817 51.54352224449604, 0.0207073671862183 51.54374146158311, 0.0209916652360144 51.544871770181764, 0.0202513229142203 51.545047909856734, 0.0200171293023597 51.54561704121386, 0.0205516927550842 51.54571090897189, 0.0208074697307715 51.545292139621786, 0.0212982673118078 51.545937262207595, 0.0235625078493176 51.54631114191986, 0.0240203262541295 51.54568269195052, 0.0232901873674274 51.54509942904394))",21,21,19,21,4,31,33,42,21,16917,0
E00137510,North Northamptonshire 035D,52.30987,-0.59966,"POLYGON ((-0.5987959202805069 52.311486551652756, -0.5983295238629872 52.311451445682835, -0.5985258593808016 52.31111646383406, -0.5978208947365111 52.31072267645116, -0.5974204534892797 52.31106915183921, -0.5966456099796666 52.31087456609439, -0.5966542106719208 52.31053486637784, -0.5969612058241467 52.310221089472364, -0.5977737758358577 52.31029424947203, -0.5976705050556252 52.30995590995491, -0.6012929803847001 52.30923292373206, -0.6023374386324284 52.30894075571453, -0.602376722711657 52.30822617481695, -0.6045058719213328 52.30844417453684, -0.6074249125505197 52.30920915029584, -0.6068119261917377 52.31001069759511, -0.6059026897381921 52.31005641008367, -0.6018073892215147 52.30978883357847, -0.5991650664429334 52.310288800663265, -0.5994000906136998 52.311530217750686, -0.5987959202805069 52.311486551652756))",31,43,37,23,26,32,32,14,10,130263,0
E00006322,Ealing 006A,51.54261,-0.35889,"POLYGON ((-0.3560590179298892 51.54503373813693, -0.3566273144854973 51.54473805870487, -0.354872273145594 51.543035423345195, -0.3548872753579391 51.54243266218068, -0.3562551739305622 51.541922620627986, -0.3576980501100496 51.54073778621491, -0.3582573726809755 51.54080829898722, -0.357724775168433 51.54134056797512, -0.3584223826312078 51.541480448213, -0.3587525916319852 51.54088340662524, -0.3604125657324422 51.54123932831667, -0.3608003463684505 51.54048040716621, -0.3616590103557715 51.54066325304451, -0.3619836137976989 51.54005631373044, -0.3655776173395344 51.54062496319003, -0.3612351980847989 51.54433365347225, -0.3566268856814562 51.54518029049935, -0.3560590179298892 51.54503373813693))",33,53,32,57,12,28,36,29,31,6009,0
E00121632,Welwyn Hatfield 005A,51.80224,-0.16477,"POLYGON ((-0.1602752744889045 51.80181458006762, -0.1610224793025298 51.801255159805876, -0.1629282750347504 51.801543974682424, -0.1657911293177318 51.80186721030662, -0.1671647726997985 51.801311987907205, -0.1679298536641702 51.8020441055315, -0.166893026959628 51.802806712572064, -0.1663045868505602 51.80322360826068, -0.1602752744889045 51.80181458006762))",45,49,24,28,10,15,16,8,8,115242,0
E00095543,Cornwall 059C,50.18727,-5.20023,"POLYGON ((-5.199262287767745 50.201885156773336, -5.197310430623018 50.200759615055446, -5.194102411109339 50.20019754012601, -5.195556350942718 50.19659383867712, -5.196825206791141 50.19574461066602, -5.194376159571938 50.19276609881144, -5.1946860995473925 50.19213462943975, -5.1934059306542775 50.18995232081391, -5.193434294954704 50.18925472739089, -5.1909632220787465 50.18845270615863, -5.189508531192071 50.188482666371875, -5.188178591589357 50.188022245446206, -5.186206573111538 50.18826462963149, -5.183482004864995 50.18733172626192, -5.182926698034415 50.18680199912954, -5.182896728314224 50.185845197338246, -5.181185173239683 50.185276119504294, -5.1795374958079545 50.18511238914972, -5.180292773254055 50.184303481752366, -5.179743040677957 50.183704335830924, -5.177055007068418 50.18457253058977, -5.174920792336683 50.18622308633574, -5.17376173579167 50.18465061858296, -5.173843643043412 50.18391990163572, -5.175114217101034 50.182155845551016, -5.17251712842147 50.17863145069886, -5.1799712211837035 50.176662654793056, -5.1806195136210444 50.175977716323764, -5.182144035238403 50.176615567251986, -5.182534054311677 50.17531844206403, -5.182304524483172 50.17207717786069, -5.182953360201558 50.16982837029266, -5.182494467061449 50.168055716373395, -5.185946711357747 50.1674630480236, -5.187418784739547 50.166676812658984, -5.189367625611612 50.168560096235915, -5.1909451203685375 50.167555058491466, -5.193258429984175 50.16710534385238, -5.196998284078394 50.168499453338896, -5.197471899034852 50.17066257132844, -5.20117708612594 50.17374858850174, -5.201291909347114 50.177556123885324, -5.203049186198919 50.1806409495267, -5.20239474663568 50.18271193362908, -5.204412567824141 50.18332552631699, -5.206407781669711 50.185312476919684, -5.206765999302074 50.18685172250172, -5.207594146735248 50.18681173311828, -5.207208439510613 50.18801710307168, -5.207804459545072 50.1892591560614, -5.212160348834826 50.1908812262991, -5.213137123100919 50.19083091703318, -5.213828167641264 50.19117601735379, -5.2148724488327005 50.191054360996276, -5.220544202092523 50.19250377311455, -5.222420988407156 50.193529481532494, -5.223826650373429 50.19502533823604, -5.2252794279850505 50.195914983340444, -5.226743450748594 50.19885823188484, -5.22658053156419 50.20103260911151, -5.228369725081397 50.20322557597023, -5.2264272854159906 50.204164822471135, -5.222656696085298 50.20360028912645, -5.216845621697937 50.20447575464696, -5.215936102234021 50.20418609090655, -5.214044339294715 50.20444365052327, -5.207339110587711 50.204445602484945, -5.2060868268979625 50.20401782633704, -5.205607179355602 50.20198894437797, -5.204542546463597 50.20140932476225, -5.20338705685142 50.20138186880169, -5.2005684986337855 50.20257425599071, -5.199262287767745 50.201885156773336))",41,72,25,54,7,26,19,10,4,90270,0
E00122803,Dover 006C,51.22684,1.203222,"POLYGON ((1.2056557544519013 51.228563051772504, 1.2044694668904055 51.22756492992567, 1.2042091328556002 51.22673773169117, 1.2043967112756866 51.22642879717088, 1.2056163501946406 51.22688103925606, 1.2057391739119514 51.22596918533782, 1.204423701069445 51.22579835946588, 1.2038629082277033 51.225561868723005, 1.203942852633092 51.22527318658323, 1.202912336845412 51.22528208316802, 1.201624023960714 51.22621542592173, 1.201051149275269 51.2260517515512, 1.2004744788723203 51.226689075915445, 1.2007868478957415 51.22725646617888, 1.2024313617503488 51.2284791855567, 1.2029295829511943 51.22815696129724, 1.203422732214929 51.22854403980782, 1.2037925652848893 51.22820338948714, 1.2047402417675397 51.2290045839496, 1.2056557544519013 51.228563051772504))",13,48,14,26,35,48,60,30,40,116321,0
E00169736,East Hertfordshire 012D,51.81758,-0.01624,"POLYGON ((-0.0158961520430422 51.818389021795454, -0.0157960326384058 51.817559524640934, -0.0147655185190132 51.81694282401041, -0.0152710536520856 51.816369074693014, -0.0158527664681842 51.81636424409211, -0.0168466111364588 51.81700059426035, -0.0167753708638605 51.81743841183349, -0.0178038291619372 51.81760694968241, -0.0176513674073252 51.81829249241405, -0.0169787380205735 51.818722048882115, -0.0158961520430422 51.818389021795454))",16,30,26,9,5,12,8,0,6,160213,0
E00008411,Greenwich 001C,51.50399,0.115351,"POLYGON ((0.115971254873532 51.50429951499659, 0.1162284272599137 51.503796068743426, 0.1157157046630569 51.50326316953574, 0.1144182648641639 51.503613865160474, 0.1151576519118155 51.50471859165937, 0.115971254873532 51.50429951499659))",9,36,33,12,6,30,22,25,22,7961,0
E00144638,Rushcliffe 004C,52.93721,-1.12278,"POLYGON ((-1.1208965673223656 52.936170410272084, -1.1211185884091626 52.93567871451387, -1.1221524564854737 52.9367920686228, -1.1239944732815743 52.9369405006671, -1.126586683346168 52.93825907690017, -1.1261501373871035 52.93818776380604, -1.12592292736128 52.938707657631696, -1.1250533829766642 52.93865742764856, -1.1250845507683653 52.938350727065355, -1.1230821466675203 52.938268352908835, -1.1227545670234746 52.93779461402619, -1.1221437246814554 52.93773699434153, -1.1218620592131032 52.938214730974316, -1.1213479676611924 52.93827940551603, -1.121148219024006 52.937402868398244, -1.1215163532072592 52.93692754338317, -1.1211741987582533 52.93599492856049, -1.1208965673223656 52.936170410272084))",81,84,15,16,5,8,17,3,31,137057,0
E00122946,Dover 003B,51.22258,1.397166,"POLYGON ((1.3980149389719403 51.22476355365698, 1.3989022036672663 51.222399803459744, 1.3989754343360126 51.2221464806837, 1.3989059391583725 51.221511822713566, 1.3979117633126852 51.220903494761586, 1.397762595117692 51.22124612983232, 1.3959899830811402 51.222032877474376, 1.3960349599540234 51.2224546286954, 1.3964277570185772 51.22248337314651, 1.395280931897291 51.22279732821886, 1.3956011259708383 51.22329756191, 1.3973716651566668 51.22353621984512, 1.3972056409703242 51.225069407772054, 1.397629630138648 51.225661826312205, 1.3980149389719403 51.22476355365698))",22,57,45,28,15,48,33,29,2,116461,0
E00133379,South Holland 006G,52.80575,-0.13291,"POLYGON ((-0.117728972055494 52.82176598770543, -0.12031125917089 52.818152650692575, -0.1244009837170496 52.81424659592469, -0.1251838239204729 52.812733106746364, -0.1256340242981681 52.811862667024144, -0.1259968206948627 52.81116119028662, -0.1351840852803282 52.799686105177415, -0.1349829608087595 52.79986101125705, -0.1370812679158119 52.79731383795385, -0.1395799184198652 52.79504759320757, -0.1405262471336566 52.795067875944014, -0.1407372481621122 52.79470348798748, -0.1423234844893013 52.79535675959288, -0.1429534040564269 52.79527509898761, -0.142992897093222 52.794793134520546, -0.1439069336278956 52.79482695540855, -0.1439776769939794 52.79514275594787, -0.1446982964958016 52.79505379732629, -0.1447240095702724 52.79459247993605, -0.1462169282122418 52.79443585571339, -0.1461484249797262 52.794877817526526, -0.1478061020297073 52.79466311836758, -0.1478809342852254 52.79521500501236, -0.1459311149685662 52.7955274417745, -0.1455523911572169 52.79525071320138, -0.1449874114614058 52.795582181102446, -0.1452605412837642 52.79598092850882, -0.1448641107454556 52.79657012013027, -0.1455933759554486 52.79673748215042, -0.1458417154782032 52.79713767023751, -0.1461140618589842 52.79690056947121, -0.1470089156856075 52.79714528572292, -0.1444054560684758 52.80015405030899, -0.1451735985310135 52.80042097439025, -0.1355800110867522 52.80563698016309, -0.1341864598551937 52.8084283325863, -0.1295845306008286 52.810451862134485, -0.1263261206914761 52.81721627613549, -0.1216656340906407 52.823323531353175, -0.117728972055494 52.82176598770543))",20,53,38,30,15,26,42,23,16,126356,0
E00084955,Milton Keynes 008A,52.06057,-0.81662,"POLYGON ((-0.81529438348318 52.06125217287539, -0.8146424887277103 52.060536745314536, -0.8157773424720209 52.06045982403536, -0.8163003025673699 52.06043206168757, -0.8160735143532888 52.0590138975554, -0.8166316497131014 52.05905196905705, -0.8168400548400628 52.060397088406276, -0.8178969544426727 52.06033374094933, -0.8186475648002564 52.06103138886573, -0.8175473417119065 52.06138052557584, -0.8175956545575593 52.06164129703856, -0.8164998939972589 52.061710797222915, -0.8164651054652245 52.061449680062125, -0.81529438348318 52.06125217287539))",42,60,39,43,12,23,25,22,17,80221,0
E00183363,West Suffolk 003F,52.37578,0.495105,"POLYGON ((0.5057875146087699 52.37325055722718, 0.4998756324451236 52.37256918727222, 0.4966105110051012 52.371716445199866, 0.4961385340543188 52.37282379473989, 0.4968667689871783 52.37236648814897, 0.4968555025277949 52.37261729645347, 0.497699626312936 52.37274329308733, 0.4971662447535506 52.37317724264301, 0.4967509008058088 52.373111124714555, 0.4959141931626222 52.37435654022243, 0.494158776122877 52.37292845642552, 0.493752383630668 52.373509016977536, 0.4928569772652597 52.373337094070166, 0.4934130144950922 52.372827488222875, 0.491797072775465 52.37268420205123, 0.4914889922957251 52.37357007299629, 0.488593713170381 52.37331317672648, 0.4862249165846637 52.37707129342843, 0.4884712477264017 52.37993046199052, 0.4921752630481008 52.378446695552555, 0.4982452440894735 52.378188798763674, 0.5014783711946171 52.3792502132959, 0.5016628335870058 52.37890911452038, 0.5014645270842119 52.377815507596544, 0.5022634514637876 52.37633452632927, 0.5037292206276933 52.3752193686881, 0.5042290995124168 52.37544214169907, 0.5047437875029144 52.3746714079824, 0.5062206445581143 52.37376782378068, 0.5062130152305918 52.373633110044146, 0.505155013363611 52.37249516374154, 0.5057875146087699 52.37325055722718))",26,37,34,33,18,43,46,21,9,171375,0
E00009156,Hackney 023B,51.53603,-0.05643,"POLYGON ((-0.0572830224342577 51.53456562791966, -0.0571670146327645 51.536210130001635, -0.0570914816497898 51.53652728620816, -0.0571312171900158 51.53624926630254, -0.0571186798159062 51.536248750207754, -0.0565365055362323 51.5362247840317, -0.0559073391010353 51.53655916991008, -0.0543726002859076 51.53662323705692, -0.054018801977242 51.536721259698766, -0.0525597374383578 51.53705233411089, -0.0500040740241668 51.53754920893009, -0.0500104195402686 51.53721351349627, -0.0493616529936431 51.53731989158011, -0.049625797981532 51.536837488256076, -0.0514655104705999 51.53681111600437, -0.0540505929210834 51.536416084447616, -0.0549303017687527 51.53624927609759, -0.055277398981215 51.53581206559275, -0.0557143230582628 51.53603596632853, -0.0564128799568697 51.535744654599256, -0.0566598458525759 51.53529696827176, -0.0562721600812386 51.534797005499826, -0.0572998058948506 51.53442644902195, -0.0572830224342577 51.53456562791966))",102,105,41,37,9,22,25,25,30,8607,0
W00005069,Neath Port Talbot 021A,51.70297,-3.66612,"POLYGON ((-3.6181795753566632 51.71102653290896, -3.6260674159840622 51.706570874583626, -3.6297661680718076 51.703261693916595, -3.6337163743608434 51.70083391414952, -3.6338627268740553 51.70023924253069, -3.6369485917071445 51.698771039433844, -3.637858667293388 51.697525600867856, -3.6497352195997266 51.69098038951212, -3.653083749878338 51.68662521690566, -3.6534757447550694 51.68672856470744, -3.6578251066740015 51.68427261642958, -3.6641079221869495 51.68167497416405, -3.666331021468575 51.680885444439454, -3.6664004565477737 51.682813246887285, -3.6673770921834423 51.68415984581756, -3.668650133000262 51.68438765060503, -3.6694059300159902 51.68608430677828, -3.67065942762392 51.68674881987169, -3.6715275257160194 51.68671401319494, -3.671750399397073 51.68705986368575, -3.6746791623866315 51.68759881687151, -3.676248085644002 51.68824097230853, -3.6784339523818677 51.68839763045495, -3.67835647475875 51.688686474826035, -3.6789761268893755 51.689011285491254, -3.679726794652783 51.68889350894834, -3.6801089909084657 51.689437483529375, -3.68115398924511 51.68929305132146, -3.682166584745461 51.69011845454654, -3.6831870408165774 51.690362777129025, -3.6834722726532836 51.69103126801903, -3.6839343820076826 51.69108222773355, -3.6848847945824326 51.69201896693203, -3.68607106977429 51.69216389707568, -3.6867636559648393 51.693241047044424, -3.6883435543441507 51.69398578981019, -3.6899013374683447 51.695357684648236, -3.6916061893014156 51.69784726750286, -3.6930831813202856 51.69873418223614, -3.6943506370646872 51.70043872879006, -3.6991937471319063 51.700614349516336, -3.703137184474786 51.702579544507444, -3.7038843326096287 51.70328799194935, -3.705789349764226 51.703834130881674, -3.7058540728129534 51.70471161806325, -3.706856686089959 51.704433610643086, -3.709910538867067 51.70555877011929, -3.7097339845655046 51.70570460212664, -3.705614792940685 51.70917398906774, -3.703025588130876 51.708927870165255, -3.701870007082866 51.70854042717833, -3.7000568061576997 51.70871336504108, -3.6987343209250505 51.70833646290793, -3.696795559178174 51.70907054405883, -3.6958393379475534 51.70881362176564, -3.6956289539434626 51.70841875190577, -3.6982346546665013 51.70800096547467, -3.696818670878902 51.70686479173124, -3.6982918000559617 51.70654952244287, -3.6942462950558226 51.70604593767297, -3.693210866893601 51.70750098287152, -3.693744520885854 51.70851527991686, -3.6926052379840835 51.708995684601874, -3.6927073612765455 51.7096405613218, -3.6921013859839413 51.70945787029557, -3.690892587818124 51.709646127819326, -3.689303774280407 51.71090090033416, -3.6864862549099633 51.71181361801959, -3.686128319674283 51.712191773653096, -3.687009723063957 51.71248337192961, -3.689038554561999 51.71222620306946, -3.6906121453063463 51.7135955219099, -3.691350702965719 51.71332463334383, -3.6907024264882966 51.7151205222234, -3.6882305615207884 51.71549679382348, -3.6858149419298663 51.71485272517174, -3.683575596371729 51.714971113695974, -3.678504324380611 51.71762792069252, -3.677913711894548 51.718672401665025, -3.676496146840081 51.71969427257649, -3.674756299283782 51.72270979038223, -3.673904203114489 51.7229278799838, -3.669094912646541 51.72251526025639, -3.6669077826183463 51.72413790159917, -3.664764564996487 51.725075497798024, -3.6612920403600118 51.72363662803761, -3.659009161290041 51.721949595548935, -3.656909372716786 51.71923934509993, -3.64612007412025 51.71084958480156, -3.6443248598844056 51.71214969682285, -3.6435500160482803 51.71349681463479, -3.642482495229319 51.713435315410536, -3.6405177168804816 51.714504018887894, -3.6395946136450066 51.71443330956542, -3.638965284528192 51.71480626802434, -3.6364791837698704 51.7152222455695, -3.6345045162333065 51.71346386142353, -3.63058084002583 51.71154196861139, -3.627172139087541 51.71150480579514, -3.623702599965806 51.71041435490161, -3.6181795753566632 51.71102653290896))",36,63,36,31,22,36,29,9,22,183510,0
